upVotes	downVotes	url	type	title	username	realm	posttime	viewCount	commentCount	content
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/RqGzyTxB-l4-people-to-play-flex-with-add-meh	recent	L4 People to play flex with add meh	PizzaDoggo2	(NA)	2016-11-17T23:04:55.113+0000	6	0	"
          bruh
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/APwHqmc2-were-item-sets-removed	recent	Were Item Sets Removed?	Wrathina	(NA)	2016-11-17T23:03:08.352+0000	6	0	"
          Were item sets removed in the new client? They were there in game yesterday, but I can&#039;t seem to locate them today.

If they were, please highly consider adding them back to the game. I find them highly useful, especially when I&#039;m playing a champion or a class that I&#039;m not familiar with.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/JFlFxklo-how-do-i-fix-screen-flicker-in-game-on-new-client	recent	How do I fix screen flicker in-game on new client	Sniper Eyes	(NA)	2016-11-17T23:03:03.239+0000	5	0	"
          whenever im on new client it runs perfect but as soon as the actually game starts loading my screen starts to flicker now i can alt+enter and i can make it into a window and i can see fine but my fps takes a dive any help would be appreciated
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/LEx43n4W-i-cant-play-league-anymore-the-client-wont-work	recent	I can't play League anymore, the client won't work	Hrd2H1t	(NA)	2016-11-17T23:02:51.248+0000	7	0	"
          Whenever I try to open the client. When I try to open League again, I get an error message and this... thing.

http://imgur.com/vp06lKY

Can anyone help me?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/story-art/XMxIdk6A-snowdown-music	recent	Snowdown music	BADxW0LF	(NA)	2016-11-17T23:02:19.666+0000	8	0	"
          Was wondering if your snowdown music will ever be on Spotify. Last year&#039;s was amazing. Really want to add it to my christmas playlist.
        "
1	1	http://boards.na.leagueoflegends.com/en/c/bug-report/rUwHQotT-unable-to-remake-after-teammate-died	recent	Unable to remake after teammate died.	Dunk4life	(NA)	2016-11-17T23:01:56.454+0000	14	2	"
          So today I am playing  with my friend in a normal game but he died to red buff because he dced. He couldn&#039;t connect to  the internet for 10 minutes and we couldn&#039;t remake because of his death. Similar thing happened last time in a ranked game when our jungler lee sin  died when he invade and ragequit. We players should be able to remake when this kind of things happen.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/mZ627EOj-cant-click-accept	recent	"Cant click "" ACCEPT """	TheLastKamykaze	(EUNE)	2016-11-17T23:00:30.696+0000	6	0	"
          Here are the images. As you can see both the Accept and the Decline buttons are flat. Because of that i have a penalty.
https://i.imgsafe.org/e3556331fc.png
https://i.imgsafe.org/e3554d92d4.png
        "
1	0	http://boards.na.leagueoflegends.com/en/c/memes/dlGjWVpB-when-you-see-a-bunch-of-talk-about-a-new-champ-on-the-boards	recent	When you see a bunch of talk about a new champ on the boards...	TyrekGoldenspear	(NA)	2016-11-17T22:59:42.088+0000	12	7	"
          But you were so late to the boards you saw threads talking about her without any links to the comic.

http://s2.quickmeme.com/img/ff/ff3fee27b5eb23e7668d225661323c9a5ef4fcd2b2e6156fa08820e198a69fd5.jpg

But then you actually see the comic.

https://cdn.meme.am/cache/instances/folder666/400x400/47703666.jpg

And then your first thought is...

{{champion:112}} Well... There are _some_ things Piltover has going for it...
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/yi36vZal-lf-plat-jungler-for-compete-league-team	recent	LF plat  jungler for compete league  team	BronzeGatekepper	(NA)	2016-11-17T22:59:41.415+0000	4	0	"
          add me
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/Lw2mB2kR-banning-problem-for-draft-mode-in-new-league-client	recent	Banning problem for draft mode in new league client	reznov859	(NA)	2016-11-17T22:57:15.367+0000	4	0	"
          I got kicked out of a game for banning a champ and i got a queue failure for 6 minutes. this doesnt make any sence. i did exactly what was needed to do and i got kicked out of champion select.
        "
2	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/xN5y9bwx-can-ziggs-get-a-better-attack-animation-considering-it-is-part-of-his-kit	recent	Can Ziggs get a better attack animation? Considering, it is part of his kit....	xxxMadLionxxx	(NA)	2016-11-17T22:57:07.850+0000	11	2	"
          Ziggs passive occasionally grants his next auto attack some AP scaling, but the thing that has been bothering me, is the fact that it is one of the worst attack animations in the game. It is slow as hell with a long wind up. Other mages who have no ap scaling on there auto attacks have better animations.

I just think its kinda silly for him to have such a horrible attack when he actually needs to use it to get damage off. Other mages don&#039;t use there auto attacks so it doesn&#039;t matter if it is bad.

In Ziggs case, his auto attacks matters....Can he get a decent animation please?

Thanks
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/LPHEyUtV-need-a-top-laner-for-flex-and-team	recent	need a top laner for flex and team	The Auhvenger	(NA)	2016-11-17T22:57:01.332+0000	7	0	"
          Need a good and consistent top lane for team as well as flex que we have 4 on right now so add me for inv
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/kkqZxv0U-need-1-for-flex	recent	need 1 for flex.	cunca	(NA)	2016-11-17T22:55:58.336+0000	7	0	"
          hit me up.     cunca
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/zjZQYk2a-support-main-looking-for-a-competitive-team	recent	Support main looking for a competitive team	MLG Mata	(NA)	2016-11-17T22:55:41.565+0000	3	0	"
          I am gold 4 and been playing league since season 4. Wanting to join a league of some sorts like compete league or the BSGL. I have tons of competitive experience. Add me @MLG Mata if interested. Thanks!
        "
1	0	http://boards.na.leagueoflegends.com/en/c/story-art/x3Es0aww-urf-the-manatee-warwick-on-sale-as-well-as-other-rare-skins	recent	Urf the Manatee Warwick on sale as well as other rare skins???	JewishCooker	(NA)	2016-11-17T22:55:09.012+0000	14	0	"
          so im going through champs and i can see that these skins look like there up for purchase and i dont know if they exactlly are tbh
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/WKPccEFO-placement-and-roll-out-potential-fix-question	recent	Placement and roll out potential fix question	SandG LingLing	(EUW)	2016-11-17T22:54:33.794+0000	5	0	"
          This is what happend to me. 

Im Plat v 80LP in Solo/duo 2016
7w/3l gold 2 in flex.  The fix for matchmaking issue in ranked flex happend, &quot;you will need to play one additional placement game to determine your new ranking.&quot; my stats was 12w/6l (+5w/+3l).. I managed to get to Gold 1 promo. before this &quot;fix&quot;

Then got placed in Silver 1? Please tell me why i should fall 5 division down in 1 game... {{item:3070}}
        "
1	0	http://boards.na.leagueoflegends.com/en/c/story-art/yNoEiBoX-sol-and-veigar	recent	Sol and Veigar?	xHeartless	(NA)	2016-11-17T22:54:16.283+0000	7	1	"
          Wouldn&#039;t it be interesting if Veigar had some connection to Aurielon Sol?  Who knows. Maybe Sol bestowed his celestial powers to the crazed and lonely yordle as a plot to get back at Targon, while also promising Veigar his vengeance on the Noxians who imprisoned him? How would that have gone down?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/miscellaneous/VmwLceyO-what-is-schrodingeros-garen	recent	What is Schrodinger’s Garen?	Danjeng	(NA)	2016-11-17T22:53:03.313+0000	25	1	"
          It is mentioned in the board&#039;s M&G Guidelines.

My best {{champion:86}} guess is {{champion:86}} that if brush {{champion:86}} is unwarded, Garen is in {{champion:86}} a state of both hiding {{champion:86}} there, while not.

You can never be sure. He's everywhere. Just waiting to serve Demacian Justice.
But I'm curious to what is really meant by Shrodinger's Garen.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/0B9OQ9ii-ranked-system-is-broken	recent	Ranked system is broken	See Lins Q 	(NA)	2016-11-17T22:52:09.230+0000	11	3	"
          I am silver 2 and all 10 of my flex games were against high gold and low plat players.  I go 6 and 4 and get placed in bronze.  How does that even make sense?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/memes/w26jNVji-there-are-basically-three-types-of-lee-sin-players	recent	There are basically three types of Lee Sin players	Vortexdragon2000	(NA)	2016-11-17T22:52:04.365+0000	15	0	"
          Ones that are like this:
https://media.giphy.com/media/3oriNP7vd4qxw4tDZ6/source.gif 

And there are those who are like this:
http://i.imgur.com/qIpwm74.gif 

Aaaand there&#039;s this
http://pa1.narvii.com/5669/1c4845591f90490e4371779adb3c515eebb40e68_hq.gif
        "
4	0	http://boards.na.leagueoflegends.com/en/c/memes/k0Ac9Byq-what-i-am-like-when-i-visit-another-website-than-mg-boards-for-memes	recent	What I am like when I visit another website than M&G boards for memes...	Mad King Hades	(NA)	2016-11-17T22:51:00.519+0000	16	2	"
          https://i.imgflip.com/15edpx.jpg
        "
1	1	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/7kbU7NGI-matchmaking-is-placing-me-with-higher-elo-players	recent	Matchmaking is placing me with higher elo players	Bandle City	(NA)	2016-11-17T22:49:35.549+0000	16	1	"
          AND I&#039;M LOVING IT!

I&#039;m not sure what caused this considering I&#039;ve been B3-S5 for the past couple seasons however so far this preseason I have over a 90% win ratio so that&#039;s what I&#039;m attributing to this. Anyways, in several recent games I&#039;ve been getting matched up with gold and platinum elo players and though it&#039;s made things considerably tougher I&#039;m personally loving the challenge.

These players are actually punishing me hard for my mistakes which is in turn FORCING me to learn and adapt in real time just to avoid losing to them and the element of randomness in terms of teams throwing back and forth feels almost gone from these games. Because I literally have to try hard just to not die too it keeps me from going on auto pilot which has seen to it that I play better more consistently now too.

I wish I could get matched with higher elo players more often because this is what it takes for me to improve and get better at this game. I learn by being punished over and over again for every tiny little mistake that I make which other Bronze and Silver players just don&#039;t do for me. I&#039;ll be sad if it turns out that this is a bug though and that it&#039;ll get fixed because then my learning will slow down again... x.x

Anyone else experiencing this though and if so, what are your thoughts on it?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/ZY71Nbl5-riot-is-garen-not-getting-the-armor-shred	recent	@Riot Is Garen not getting the armor shred?	Big Lincoln	(NA)	2016-11-17T22:49:22.380+0000	10	0	"
          I know Riot plans to release the changes in 6.24 and not this patch, but I&#039;m just wondering if you guys came up with another idea that you liked better, or if you&#039;re just holding off to tune the numbers

Somebody mentioned a &#039;new mechanic&#039; for Garen - presumably not armor shred? Are you guys willing to tell us what it is?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/uuQLVnyG-i-need-help-to-learn-how-to-play-braum-correctly	recent	I need help to learn how to play Braum correctly	OokamiNoSora	(NA)	2016-11-17T22:48:33.094+0000	12	2	"
          So title pretty much says it all. I really like Braum as a character but I find that enjoy him a heck of a lot more after lane phase. And I figured Id ask what im doing wrong during lane phase. I pretty much just try and hit with q and jump shield my ally if it will help. But thats pretty much it. Is there something I should be doing differently please let me know ^^ bc I really want to get better at him hes a lot of fun.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/MplY8cWU-plat-4-midtop-lf-flex-queue	recent	plat 4 mid/top LF flex queue	Paleo jables	(NA)	2016-11-17T22:48:28.010+0000	5	0	"
          add me for games
        "
1	0	http://boards.na.leagueoflegends.com/en/c/skin-champion-concepts/mf9ondbJ-help-with-completing-a-champion-idea	recent	Help with completing a champion idea	Invincible00	(EUW)	2016-11-17T22:48:08.042+0000	5	1	"
          So I was rvising for exams when this champion idea came to me the main theme is a champion that can change autoatacks throu changing his weapon 
So for his Q i thout of a syth (since i think league need one on a champion) when he activate Q his weapon changes to a syth and his auto becaume melee and aoe and he get a passive for a duration after the activation giving him bonuses that fit to his syth like life steal or atack speed or every 3rd auto he striks in a circle around him also when activated he pulles enemy toward him abit  so he uses Q pull enemys and get a buff for a duration then he just auto normally
for W i thout of gunns I didn&#039;t think of the activation ability like the pull on his Q but it can be a skill shot in a line and gets a buff that fits his guns play style ofc he gets range
for E i thout of a weapon that looks like akalie&#039;s weapon abit but attached to a chain it has medum range (not as long as his gun form) when activated he lunches a skillshot in a line that stuns the first enemy hit and he get pulled to them put doesn&#039;t pull the enemy stun and when cast on a wall he can leap to it and if it&#039;s thin enauph he can leap behind the wall 
For ult i haven&#039;t thout of it well but it can boost all the efects of his abilities for a duration 
Also i haven&#039;t thout of a passive 
Auto attack damage is not the same at all form so you won&#039;t get to play only using one auto attack form for the rest of the game so maybe damage reduction on a form and damage buff on another one
But i layed like a theme or a base idea and i&#039;d like coments to complete what is missing or changes and make it fan made
Just few things i really want is the syth because i think it&#039;s a cool weapon (that is not used properlly by fiddelsticks xD) and beside using it to throw bananas i think it should be used to slash enemys in meele attacks and i&#039;d love white hair and red eyes *_*
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/0YAE278x-gameplay-ability-level-up-arrow-wont-go-away	recent	[GAMEPLAY] Ability Level Up Arrow won't go away	TheUltimateLife	(NA)	2016-11-17T22:47:50.718+0000	10	0	"
          Hey all,

More often than not over the last few patches (not sure exactly when it started) when I go to level up an ability on a champ by clicking the arrow above the move (q,w,e), the arrow becomes slightly grayed out, but remains until the next time I level the ability again. This is pretty annoying when it seems like I&#039;ve forgotten to level something and can&#039;t click it, or if this bug takes places when ranking for the 5th time and is then permanently stuck for the rest of the game. To be honest I&#039;m not sure if it&#039;s purely visual (and haven&#039;t even thought about it until just now) but doubt that my skills are actually not leveling. 

I&#039;ve never really reported a bug before and usually whatever I notice eventually becomes fixed in the next patch, but this time it&#039;s been a while and I haven&#039;t seen anyone else mention it. I&#039;d say by estimate it actually happens about 40% of the time but seems to be getting more frequent. Unfortunately I do not have any screenshots, nor would I know how exactly to provide one. So if there&#039;s any confusion on what exactly I am talking about just let me know and I&#039;ll see if I can explain it. 

Thanks!
        "
2	2	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/EHvhoNgt-fix-your-matchmaking-part-2	recent	Fix your Matchmaking PART 2	Kewlipo	(NA)	2016-11-17T22:47:02.993+0000	29	1	"
          I&#039;m not even in placements anymore.

And I&#039;m still getting these games. 

Vik is currently 0/5 in our game.

Fix.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/RxY56mX4-cant-open-old-clientcant-buy-skinsnew-client-bug	recent	Cant open old client/Cant buy skins/New Client Bug.	Xylosis	(NA)	2016-11-17T22:46:38.796+0000	11	0	"
          Topic may be a bit confusing, but what I mean is I cant open the client through the main way (On patcher and hitting launch) I can only open my client through the alpha client i installed when I was accepted. While I had the alpha i was able to open the old client and play it through the patcher, so its not like the files are messed up. Also, I personally hate on the new client how long it takes to look at a skins splash art from the store. When I look at the splash though, and when I went to buy the skin (Jayce Brighthammer) it didnt let me purchase. Finally, I dont know if this is only me, but when I get into champ select, or go into any page or anything on the new client that is like out of the default places (clicking on a champ in the store, champ select, etc.) this happens: (gyazo link)
        "
1	1	http://boards.na.leagueoflegends.com/en/c/skin-champion-concepts/QMN85Anr-pre-season-ranked-placements-with-wiidsquirtle	recent	Pre-Season Ranked Placements! With Wiidsquirtle	ZionSquirtle	(EUW)	2016-11-17T22:46:16.226+0000	8	0	"
          Lets go famalamz
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/cye0vnmT-teemo-passive-change-and-r-change	recent	Teemo Passive Change and R change	Pupel	(NA)	2016-11-17T22:46:14.434+0000	13	2	"
          Can we change teemo&#039;s passive to:
If Teemo stands still for 1 second he becomes invisable. Upon coming out of stealth his first auto attacks amplifies all DoT damage on the target by X amount as long as Teemo remains in combat with the target.

And change his shrooms so they can no longer be disabled or destroyed but made visable by sweepers and control wards. 

These would allow him to be more easily balanced and not force him to build like a bruiser to be effective
        "
2	0	http://boards.na.leagueoflegends.com/en/c/memes/8OdzOFgU-what-people-are-like-when-they-visit-the-mg-boards	recent	What people are like when they visit the M&G boards....	Mad King Hades	(NA)	2016-11-17T22:46:00.780+0000	9	1	"
          http://i1.kym-cdn.com/photos/images/facebook/000/976/772/015.jpeg
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/dEEda84s-client-static-when-recording-a-replay	recent	[CLIENT] Static when recording a Replay	AngryShrimp	(NA)	2016-11-17T22:45:28.176+0000	8	0	"
          WARNING THE VIDEO WILL HURT YOUR EARS!!!!

This happens every time I go to record a play using the new replay feature. It just happening all the time. It&#039;s worth noting the replay itself is fine, its just the webm that is recorded via the replay clients record button.

Steps for reproduction:
1. Download a replay
2. Watch replay
3. Record the replay via the in client record button (ctrl+v)
4. Listen to the replay.

I feel like this is an issue on my end (or at lesat with my machine?)

Let me know if there is anything else I can try to help fix this!
        "
1	5	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/Iwna2Ewx-black-cleaver-is-the-most-overloaded-item-in-the-game	recent	Black Cleaver is the most overloaded item in the game	Neko Caitlyn	(NA)	2016-11-17T22:42:48.506+0000	36	3	"
          {{item:3071}} gives a shit ton of HP, damage, **20% CDR**, a speed boost, and potentially AOE armor reduction that also benefits teammates. All for a strong build path and relatively low cost.

Compare the cost to other core damage items such as {{item:3031}} {{item:3072}} {{item:3089}} {{item:3078}} 

How is this allowed?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/EGWXOeWc-support-gold-income-idea	recent	Support gold income idea	Akenero	(NA)	2016-11-17T22:42:17.783+0000	9	0	"
          So, supports just don&#039;t get gold, we all know that. A big part of it is that they have to buy a support item AND sightstone, or combine them, but sacrifice active item effects. Why not give sightstone increased gold per second based upon map coverage across the team? It would be a neutral power spike for pro play, and would give more incentive for layers to ward in lower elo games. Also, supports are boring to many people because they aren&#039;t super flashy. Of anyone remembers when thresh was released, support was one of the more popular roles back then because he brought just so much playmaking potential to the role. I know that many people picked up the role when he was released, and bard is the only other champion I can think of who revolutionized the role as much as thresh. 
Lastly, if more lanes were opened up to support, as was done with ivern(though he has not revolutionized the role much yet), more people would play them. Imagine a support who could legitimately go top lane, while there is a bruiser bot who can legitimately fulfill his role. Champions don&#039;t have to be released in an op state anymore, and if a champion is severely underplayed on release, support them by making other champions work well with them.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/EEfOkAbW-isnt-the-autofill-protected-bonus-essentially-pointless	recent	"Isn't the ""autofill protected"" bonus essentially pointless?"	Numb3rs	(NA)	2016-11-17T22:40:44.815+0000	51	15	"
          &quot;you&#039;re guaranteed one of your selected roles this game because you recently filled or played support.&quot;

i mean... aren&#039;t we guaranteed one of our two selected roles fucking regardless? i don&#039;t even understand the point of this
        "
